"Use For Go-Live? Y/N","Source Code","Item Name","Quote Unit","Customer Charge","Costing Shape","Material 1","Qty/Ratio 1","Material 2","Qty/Ratio 2","Material 3","Qty/Ratio 3","Making/Service Charge","Per Unit or Lump Sum","Stock Tracked?","Customer Supplied Possible?",Notes
,TRUNCATED,"Akkha Kali Masoor",,,,,,,,,,,,,,
,TRUNCATED,"Gola Kabab",,,,,,,,,,,,,,
,TRUNCATED,"Beetroot Vegetable",,,,,,,,,,,,,,
,TRUNCATED,"Smoked Tandoori Tawa Qeema",,,,,,,,,,,,,,
,TRUNCATED,"Rajasthani Tikka",,,,,,,,,,,,,,
,TRUNCATED,"Chanp Fried Mutton",,,,,,,,,,,,,,
,TRUNCATED,"Dragon Chicken Boneless",,,,,,,,,,,,,,
,TRUNCATED,"Sriracha Chicken Boneless",,,,,,,,,,,,,,
,TRUNCATED,"Sajji Mutton",,,,,,,,,,,,,,
,TRUNCATED,"Seekh Kabab Mutton",,,,,,,,,,,,,,
,TRUNCATED,"Chana Daal Masala Dhaba Style",,,,,,,,,,,,,,
,TRUNCATED,"Prawns Tawa Masala",,,,,,,,,,,,,,
,TRUNCATED,Tori,,,,,,,,,,,,,,
,TRUNCATED,"Mutton Masala",,,,,,,,,,,,,,
,TRUNCATED,Piyaaz,,,,,,,,,,,,,,
,TRUNCATED,"Hyderabadi Style Masaledar Beef",,,,,,,,,,,,,,
,TRUNCATED,"Masaledar Hari Mirch Aloo",,,,,,,,,,,,,,
,TRUNCATED,"Seekh Kabab",,,,,,,,,,,,,,
,TRUNCATED,"Shahi Tikka Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Hara Bhara Brain Masala",,,,,,,,,,,,,,
,TRUNCATED,"Special Daal with Achari Mirch Tadka",,,,,,,,,,,,,,
,TRUNCATED,"Shashlik Stick Chicken",,,,,,,,,,,,,,
,TRUNCATED,"Bihari Chicken Tikka",,,,,,,,,,,,,,
,TRUNCATED,"World Famous Hyderabadi Qeema",,,,,,,,,,,,,,
,TRUNCATED,"Dum Ka Gosht Mutton",,,,,,,,,,,,,,
,TRUNCATED,"Hyderabadi Style Green Chicken Boneless",,,,,,,,,,,,,,
,TRUNCATED,"Masala Fish Fry Gravy",,,,,,,,,,,,,,
